"","ObservationMonth","sensortype","sd","mean","median","IQR","n","se","ci"
"1","2018-01-January","OrionStarA112",0,28.27,28.27,0,11,0,0
"2","2018-02-February","OrionStarA112",0,28.27,28.27,0,4,0,0
"3","2018-08-August","OrionStarA112",0.883310456542524,29.0071428571429,28.27,1.72,14,0.236074649609785,0.46270631323518
"4","2018-09-September","OrionStarA112",0.0242535625036319,30.2766666666667,30.26,0.0499999999999972,18,0.00571661950474997,0.0112045742293099
"5","2018-10-October","OrionStarA112",1.20479043820907,29.11,28.27,2.52,36,0.200798406368178,0.393564876481629
"6","2018-11-November","OrionStarA112",0.429787181377709,30.3975,30.56,0.322499999999998,48,0.0620344362156677,0.121587494982709
"7","2018-11-November","SENSOREXtorodial",0.345556205137588,29.9590909090909,29.9,0.300000000000001,11,0.104189116038224,0.204210667434919
"8","2018-12-December","OrionStarA112",0.104853639489937,30.4166666666667,30.44,0.25,36,0.0174756065816562,0.0342521889000462
"9","2018-12-December","SENSOREXtorodial",0.206628824258603,29.9954166666667,30,0.200000000000003,24,0.0421779321320664,0.0826687469788502
"10","2019-01-January","SENSOREXtorodial",0.329210130987531,29.33,29.4,0.5,30,0.0601052716337004,0.117806332402053
"11","2019-02-February","OrionStarA112",0.65142887138051,29.3775,29.68,0.4025,48,0.0940256585623579,0.184290290782221
"12","2019-02-February","SENSOREXtorodial",0.25104852582487,29.3041666666667,29.3,0.325000000000003,24,0.0512450657457382,0.100440328861647
"13","2019-03-March","OrionStarA112",0,29.5,29.5,0,36,0,0
"14","2019-03-March","SENSOREXtorodial",0.0978840170210515,29.5379310344828,29.5,0.100000000000001,29,0.0181766056428525,0.0356261470599908
"15","2019-04-April","OrionStarA112",0.150669182616069,29.3765957446809,29.4,0.25,47,0.0219773590412877,0.0430756237209238
"16","2019-04-April","SENSOREXtorodial",0.214977637477447,29.4692307692308,29.6,0.274999999999999,26,0.0421605834032146,0.0826347434703007
"17","2019-05-May","OrionStarA112",0.176901857123381,29.6256603773585,29.5,0.370000000000001,53,0.0242993388580381,0.0476267041617546
"18","2019-05-May","SENSOREXtorodial",0.112089707663561,29.4444444444444,29.4,0.100000000000001,27,0.0215716742976478,0.0422804816233897
"19","2019-06-June","OrionStarA112",0.300701709334799,29.6830555555556,29.6,0.41,72,0.0354380362975038,0.0694585511431074
"20","2019-06-June","SENSOREXtorodial",0.31701459873948,29.6925,29.6,0.48,44,0.0477917489583604,0.0936718279583863
"21","2019-07-July","OrionStarA112",0.20335407015054,29.8891428571429,29.885,0.322500000000002,70,0.0243054602468519,0.0476387020838297
"22","2019-07-July","SENSOREXtorodial",0.201765419386109,29.9666176470588,29.96,0.32,68,0.024467651050764,0.0479565960594973
"23","2019-08-August","OrionStarA112",0.499395301005793,29.6204,29.8,0.399999999999999,25,0.0998790602011585,0.195762957994271
"24","2019-08-August","SENSOREXtorodial",0.0957243850580236,30.005,30.025,0.1325,20,0.0214046232094106,0.0419530614904448
